time,S1,C
0,1,1
0.01,1.009950496,1
0.02,1.019803904,1
0.03,1.029563016,1
0.04,1.039230487,1
0.05,1.04880885,1
0.06,1.058300527,1
0.07,1.067707828,1
0.08,1.077032965,1
0.09,1.086278054,1
0.1,1.09544512,1
0.11,1.104536107,1
0.12,1.113552878,1
0.13,1.122497221,1
0.14,1.131370855,1
0.15,1.14017543,1
0.16,1.148912534,1
0.17,1.157583694,1
0.18,1.166190382,1
0.19,1.174734014,1
0.2,1.183215957,1
0.21,1.191637528,1
0.22,1.199999998,1
0.23,1.208304595,1
0.24,1.216552503,1
0.25,1.224744868,1
0.26,1.232882797,1
0.27,1.240967361,1
0.28,1.248999596,1
0.29,1.256980505,1
0.3,1.26491106,1
0.31,1.272792201,1
0.32,1.280624842,1
0.33,1.288409867,1
0.34,1.296148134,1
0.35,1.303840476,1
0.36,1.311487699,1
0.37,1.31909059,1
0.38,1.32664991,1
0.39,1.3341664,1
0.4,1.34164078,1
0.41,1.34907375,1
0.42,1.35646599,1
0.43,1.363818163,1
0.44,1.371130914,1
0.45,1.378404869,1
0.46,1.385640639,1
0.47,1.392838821,1
0.48,1.399999993,1
0.49,1.407124721,1
0.5,1.414213556,1
0.51,1.421267034,1
0.52,1.428285679,1
0.53,1.435270003,1
0.54,1.442220503,1
0.55,1.449137668,1
0.56,1.456021971,1
0.57,1.462873877,1
0.58,1.469693839,1
0.59,1.476482299,1
0.6,1.48323969,1
0.61,1.489966435,1
0.62,1.496662948,1
0.63,1.503329631,1
0.64,1.50996688,1
0.65,1.516575082,1
0.66,1.523154614,1
0.67,1.529705847,1
0.68,1.536229142,1
0.69,1.542724855,1
0.7,1.549193331,1
0.71,1.555634911,1
0.72,1.562049928,1
0.73,1.568438707,1
0.74,1.574801568,1
0.75,1.581138823,1
0.76,1.587450779,1
0.77,1.593737737,1
0.78,1.599999992,1
0.79,1.606237832,1
0.8,1.612451541,1
0.81,1.618641397,1
0.82,1.624807672,1
0.83,1.630950634,1
0.84,1.637070545,1
0.85,1.643167663,1
0.86,1.649242241,1
0.87,1.655294527,1
0.88,1.661324763,1
0.89,1.667333191,1
0.9,1.673320044,1
0.91,1.679285553,1
0.92,1.685229945,1
0.93,1.691153443,1
0.94,1.697056265,1
0.95,1.702938627,1
0.96,1.708800739,1
0.97,1.71464281,1
0.98,1.720465044,1
0.99,1.72626764,1
1,1.732050798,1
1.01,1.73781471,1
1.02,1.743559567,1
1.03,1.749285559,1
1.04,1.754992868,1
1.05,1.760681676,1
1.06,1.766352163,1
1.07,1.772004505,1
1.08,1.777638873,1
1.09,1.78325544,1
1.1,1.788854372,1
1.11,1.794435834,1
1.12,1.79999999,1
1.13,1.805546998,1
1.14,1.811077018,1
1.15,1.816590202,1
1.16,1.822086706,1
1.17,1.827566678,1
1.18,1.833030268,1
1.19,1.838477621,1
1.2,1.843908881,1
1.21,1.849324191,1
1.22,1.854723689,1
1.23,1.860107514,1
1.24,1.8654758,1
1.25,1.870828683,1
1.26,1.876166294,1
1.27,1.881488762,1
1.28,1.886796216,1
1.29,1.892088783,1
1.3,1.897366586,1
1.31,1.902629749,1
1.32,1.907878393,1
1.33,1.913112637,1
1.34,1.918332599,1
1.35,1.923538396,1
1.36,1.928730142,1
1.37,1.93390795,1
1.38,1.939071933,1
1.39,1.944222199,1
1.4,1.949358858,1
1.41,1.954482018,1
